group_name,dfes_substation,match_type,suggestion,licence
ABERDYFI T1,ABERDYFI T1,exact_spm,,SPM
ABERGELE T1 / PENSARN T1,ABERGELE T1 / PENSARN T1,exact_spm,,SPM
ABERSOCH T1,ABERSOCH T1,exact_spm,,SPM
ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,exact_spm,,SPM
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,exact_spm,,SPM
ACER AVE T1,ACER AVE T1,exact_spm,,SPM
ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,exact_spm,,SPM
ACTON T1,ACTON T1,exact_spm,,SPM
AIGBURTH VALE T1 / IVY AVE T1 / MATHER AVE T1 / MOSSLEY HILL T1 / WAVERTREE T1,AIGBURTH VALE T1 / IVY AVE T1 / MATHER AVE T1 / MOSSLEY HILL T1 / WAVERTREE T1,exact_spm,,SPM
AINSDALE T1 / PINFOLD LA T1,AINSDALE T1 / PINFOLD LA T1,exact_spm,,SPM
AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,exact_spm,,SPM
AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,exact_spm,,SPM
AINTREE LOCAL T1 / OLD ROAN T1 / WANGO LA T1,AINTREE LOCAL T1 / OLD ROAN T1 / WANGO LA T1,exact_spm,,SPM
AIRBUS T1 / BROUGHTON RETAIL PARK T1 / MIXALLOY T1,AIRBUS T1 / BROUGHTON RETAIL PARK T1 / MIXALLOY T1,exact_spm,,SPM
AIRPORT T1 / ALDERWOOD AVE (CROYDE RD) T1 / HAREFIELD RD T1 / METAL BOX (SPEKE) T1,AIRPORT T1 / ALDERWOOD AVE (CROYDE RD) T1 / HAREFIELD RD T1 / METAL BOX (SPEKE) T1,exact_spm,,SPM
ALBERT DOCK T1 / KINGS DOCK T1 / KINGS DOCK T2 / WAPPING T1,ALBERT DOCK T1 / KINGS DOCK T1 / KINGS DOCK T2 / WAPPING T1,exact_spm,,SPM
ALLERTON T1 / ECP WEST-BANKS RD T1 / GARSTON T1 / WEAVER IND EST T1 / YEW TREE RD T1,ALLERTON T1 / ECP WEST-BANKS RD T1 / GARSTON T1 / WEAVER IND EST T1 / YEW TREE RD T1,exact_spm,,SPM
ALMATEX T1 / ST HELENS WWTW T1 / WATERY LA T2,ALMATEX T1 / ST HELENS WWTW T1 / WATERY LA T2 / EX DELTA METALS T1,fuzzy_spm,,SPM
ALMONDS TURN T1 / ATLANTIC COMPLEX T1 / GIRO T1 / MIDLAND BANK T1 / NETHERTON T1,ALMONDS TURN T1 / ATLANTIC COMPLEX T1 / GIRO T1 / MIDLAND BANK T1 / NETHERTON T1,exact_spm,,SPM
ALPOCO T1,ALPOCO T1,exact_spm,,SPM
AMLWCH GT1 / CAERGEILIOG GT1 / CAERGEILIOG GT2,,unmatched,,
AMLWCH T1 / AMLWCH T2,AMLWCH T1 / AMLWCH T2,exact_spm,,SPM
ANDERTON T1,ANDERTON T1,exact_spm,,SPM
